Question,Confirmation,Factoid,List,Causal,Hypothetical,Complex
Where was the formation of the UAP party officially announced?,0,1,0,0,0,0
What were more hierarchical than Norte cultures?,0,1,0,0,0,0
What event led to the assumption of power by the Soviet government?,0,1,0,1,0,0
Portions of what modern-day borough were included in the County of New York?,0,1,0,0,0,0
What did traditional Jewish religious services in the Synagogue include?,0,1,0,0,0,0
What was the name of Beyoncé's first dance instructor?,0,1,0,0,0,0
What does coloration and shape help an insect do in the surrounding environment?,0,1,0,0,0,0
Which popular global publisher utilizes sentence case for titles and headers?,0,1,0,0,0,0
What is the term for the building boom erected many fine buildings?,0,1,0,0,0,0
What makes pure metals impure metals?,0,1,0,0,0,0
What countries are nearby Cyprus?,0,1,0,0,0,0
What was the first trade name of diethylbarbituric acid?,0,1,0,0,0,0
The entire group of cardinals is known as what?,0,1,0,0,0,0
What sport do the New York Rangers play?,0,1,0,0,0,0
Who replicated Alcock and Browns flight in the 20th century?,0,1,0,0,0,0
Which Asian country has Nigerians sending the most money home?,0,1,0,0,0,0
What is the official language of Swaziland?,0,1,0,0,0,0
For countries that use the Caribbean dollar as their paper currency what other currency do they make?,0,1,0,0,0,0
What are Rajasthans two main cash crops?,0,1,1,0,0,0
What was Zhejiang's nominal GDP in yuan for 2011?,0,1,0,0,0,0
When was the first Kingdom of Israel established?,0,1,0,0,0,0
What are smaller insectivorous birds referred to?,0,1,0,0,0,0
Where does Oklahoma rank by population?,0,1,0,0,0,0
In what century did White Americans start living in Santa Monica?,0,1,0,0,0,0
What is an example of Humanism based philosophy that focused on ethics?,0,1,0,0,0,0
The City University of New York system consists of how many institutions?,0,1,0,0,0,0
Who were the first monarchs crowned at Westminster Abbey?,0,1,0,0,0,0
In what siege was Suleiman the Magnificent stopped when attacking Vienna in 1532?,0,1,0,0,0,0
What sort of response doesn't the stimulus cause?,0,1,0,0,0,0
Neo-Georgain style was common in Britain until the end of which decade?,0,1,0,0,0,0
What part of a polychaete can be everted?,0,1,0,0,0,0
Who created Photo CDs?,0,1,0,0,0,0
When was TV introduced in Namibia?,0,1,0,0,0,0
What pope did Caravaggio create a portrait of?,0,1,0,0,0,0
What was the name of The Verge's investigative series?,0,1,0,0,0,0
What can prevent a green color in glass?,0,1,0,0,0,0
For how many years did David Baker serve as commissioner of the AFL?,0,1,0,0,0,0
When did Leonard Brezhnev die?,0,1,0,0,0,0
Who first standardized the latest versions of the Quran?,0,1,0,0,0,0
Once the passengers have exited what happens?,0,1,0,0,0,0
What enhances man's faith in God according to Albertus Magnus?,0,1,0,0,0,0
Who is YouTube's CEO?,0,1,0,0,0,0
War of the Worlds written in 1838 was written for what medium?,0,1,0,0,0,0
On what day do pubs sometimes offer free snacks?,0,1,0,0,0,0
Where is a sizeable and rapidly growing Orthodox community currently located besides New York State?,0,1,0,0,0,0
In opposition to conservatives what group has Hayek's work influenced?,0,1,0,0,0,0
What river was the city near?,0,1,0,0,0,0
What was another regional leader involved in the origins of szlachta?,0,1,0,0,0,0
Who did Michael Greenberger erronesously name as a key player in speculative run-up of oil futures?,0,1,0,0,0,0
What type or ornamentation was featured on the Illyrians shilds and war belts?,0,1,0,0,0,0
Where was Noah transported according to a story in the Talmud?,0,1,0,0,0,0
When was the Battle of the Styles contested?,0,1,0,0,0,0
What has begun pressuring department stores in more recent years?,0,1,0,1,0,0
How was Mary related to Jesus?,0,1,0,0,0,0
How much did Madonna make in all her concerts together?,0,1,0,0,0,0
What is considered a qualitative experience rather than a quantitative one?,0,1,0,0,0,0
When was the Observer Corps formed?,0,1,0,0,0,0
When did Hisham's reign start?,0,1,0,0,0,0
Where did the English adjective Swiss originate from?,0,1,0,0,0,0
Who was Saint George according to Catholic tradition?,0,1,0,0,0,0
In regards to the word 'cardinal' being used in cities other than Rome who sent a letter to Pippin III?,0,1,0,0,0,0
What was the honor granted a Vestal?,0,1,0,0,0,0
What GE employee developed the visible-spectrum LED?,0,1,0,0,0,0
The suprachiasmatic nucleus is a small part of what part of the brain?,0,1,0,0,0,0
When does the Julian calendar omit three leap days?,0,1,0,0,0,0
Where was the concept of parallel creation lost?,0,1,0,0,0,0
What did Bell start drawing after reading the article?,0,1,0,0,0,0
What Prime Minister was appointed multiple times?,0,1,0,0,0,0
What is the smallest airport in the London area?,0,1,0,0,0,0
What did Freddie Mercury die of?,0,1,0,0,0,0
What political philosophy did Gaddifi create?,0,1,0,0,0,0
Who wrote 'A Vindication of the Rights of Men'?,0,1,0,0,0,0
To what did critics attribute Nasser's popular appeal?,0,1,0,1,0,1
What does the EASSy cable stand for?,0,1,0,0,0,0
What were Picasso's 1970 paintings usually characterized by?,0,1,0,0,0,0
Along with geography and economics what variable often affects how much electricity an area uses?,0,1,0,0,0,0
What was the worst American defeat of the American Revolution?,0,1,0,1,0,0
What year did Victorias Father die?,0,1,0,0,0,0
What company was the spin-off of Somers Isles Company?,0,1,0,0,0,0
In what span did Universal produce westerns with Kirby Grant?,0,1,0,0,0,0
During her free time what did she play with?,0,1,0,0,0,0
When did Yugoslavia change its name to the Socialist Federal Republic of Yugoslavia?,0,1,0,0,0,0
Any mosaic having secular designs were likely what?,0,1,0,0,0,0
Who adopted this practice from Multics?,0,1,0,0,0,0
What geographic portion of the front did the Sixth US Army Group operate on?,0,1,0,0,0,0
What two towns were pinnacle for artistic production?,0,1,0,0,0,0
Where are the controls located on the 3rd gen iPod Shuffle?,0,1,0,0,0,0
When was the torch relay event held in Macao?,0,1,0,0,0,0
Who is praised for providing a clear definition of materialism?,0,1,0,0,0,0
Who did James Ward inspire?,0,1,0,0,0,0
Sony Music closed its Japan office in what year?,0,1,0,0,0,0
What new security features does Windows 9 have?,0,1,0,0,0,0
What amendment of the Constitution doesn't cruel and unusual punishment violate?,0,1,0,0,0,0
How many international female outdoor track and field championships have been won by the University of Kansas?,0,1,0,0,0,0
What term can be used to refer to the usable spectrum of an antennas frequency?,0,1,0,0,0,0
What type of music did many of the post-punk bands start indulging in?,0,1,0,0,0,0
How often is Politics & Policy not published?,0,0,0,1,0,0
Which feature of the new ships will replace the old nuclear catapults?,0,1,0,0,0,0
When did the government of the Congo pass a law to assist indigenous people?,0,1,0,0,0,0
In the 2008 primary how much of the Bronx vote did Obama get?,0,1,0,0,0,0
How are dogs viewed in Asian countries?,0,1,0,0,0,0
How many models did Australia propose to Norfolk Island's legislative assembly?,0,1,0,0,0,0
What European country is a leader in providing VRS services to its citizens?,0,1,0,0,0,0
Insects have specialized organs of what kind?,0,1,0,0,0,0
What modern brewers often first began as beer houses?,0,1,0,0,0,0
Who was Dave Finlay often helped by?,0,1,0,0,0,0
In what year did the De Soto Trail gain its name?,0,1,0,0,0,0
It should be noted that although 6-month-olds cannot recall information over what?,0,1,0,0,0,0
What did only a few northern states do?,0,1,0,0,0,0
Aside from planning and design what other types of aspects does architecture never involve?,0,1,0,0,0,0
What did George Mason state that judges could do to a law?,0,1,0,0,0,0
When did Ken Hoitzman pitch a no-hitter?,0,1,0,0,0,0
Who remained Catholicos of Cilicia?,0,1,0,0,0,0
What gives another symmetry function?,0,1,0,0,0,0
What did this literature help with that was written in Cyrillic?,0,1,0,0,0,0
What is found at Room 128a of the Victoria & Albert Museum?,0,1,0,0,0,0
What is Feynman's sister's name?,0,1,0,0,0,0
What chemical is absent or low during daylight?,0,1,0,0,0,0
Who was buried next to William Wilberforce?,0,1,0,0,0,0
How many people died over the course of four days?,0,1,0,0,0,0
What rformation took place in the 1600's?,0,1,0,0,0,0
How many people in the United States were associated with Jehovah's Witnesses as of 1910?,0,1,0,0,0,0
Which Soyuz mission in December 1974 was to be used for the ASTP?,0,1,0,0,0,0
In what year did programme editor Harry Homer join Arsenal?,0,1,0,0,0,0
What bachelor's degree is offered at NI-Q through the School of Communication?,0,1,0,0,0,0
What was the name of first business in the world to own a computer?,0,1,0,0,0,0
What area did Bod originally refer to?,0,1,0,0,0,0
What kind of writing did Geza Vermes usually produce?,0,1,0,0,0,0
What is based on surface ice and melt conditions?,0,1,0,0,0,0
In what year did the Boy Scouts give Spielberg their Distinguished Eagle Scout Award?,0,1,0,0,0,0
How many active bands did Manchester have in the 1960's?,0,1,0,0,0,0
Which two partners owned Jerrold Electronics?,0,1,0,0,0,0
When was Houston Baptist University founded?,0,1,0,0,0,0
What does Torquay say about the secret germ warfare tests?,0,1,0,0,0,0
What is the normal snowfall?,0,1,0,0,0,0
What is one of the heaviest migratory funnels?,0,1,0,0,0,0
What two forms of law make up the laws of the United States?,0,1,0,0,0,0
In what year did Syria leave the UAR?,0,1,0,0,0,0
What is often quoted as contributing to improved working conditions?,0,1,0,0,0,0
What percentage of Lancashire is Asian?,0,1,0,0,0,0
What Indian tribe was the Army's major campaign against?,0,1,0,0,0,0
What county in England is drier than the rest of the country?,0,1,0,0,0,0
What record is the oldest type in storage?,0,1,0,0,0,0
What empire was destroyed Christian Rule?,0,1,0,0,0,0
In what year was the last known person sentenced to death in England for heresy?,0,1,0,0,0,0
What empire covered most of India from 230 BCE?,0,1,0,0,0,0
Who were the rejecters of the document affronted by the persecution of?,0,1,0,0,0,0
What invasion caused the collapse of the Mali Empire?,0,1,0,1,0,0
What did Rutherford institute the appointment of in each congregation in 1919?,0,1,0,0,0,1
When was the tuberculosis classification system created?,0,1,0,0,0,0
What major interstate in New Haven provides access northward into Massachusetts Vermont and eventually reaches the Canadian border?,0,1,0,0,0,0
Under Gaddafi how did Freedom House rate Libya?,0,1,0,0,0,0
What was the island a source of for ships travelling from Asia to Europe?,0,1,0,0,0,0
What is Clawshot's main weapon?,0,1,0,0,0,0
What television network was contracted to show Arena Football League games in 2010?,0,1,0,0,0,0
In the mid 19th century which missionaries brought about the beginning of the church in these areas?,0,1,0,0,0,0
In which season did Tottenham finish third?,0,1,0,0,0,0
What was the plan to settle and develop the State of Carolina?,0,1,0,0,0,0
What would happen if the voltage difference from collector and emitter were zero?,0,0,0,0,1,0
Who developed the concept of the introduction of laws of stored energy?,0,1,0,0,0,0
How high did Kyriakos Ioannou jump in Osaka in 2007?,0,1,0,0,0,0
Which New England city did Feynman visit his wife in?,0,1,0,0,0,0
Which season five contestant has had the most success after the show?,0,1,0,0,0,0
What did Cerberus guard?,0,1,0,0,0,0
How much money was spent to revamp Tsaghkadzor for winter sports?,0,1,0,0,0,0
From what state did the proposed council come from?,0,1,0,0,0,0
What has helped to sabotage Thuringia?,0,1,0,0,0,0
What are the District Court and Court of Appeal considered to be?,0,1,0,0,0,0
What do Amphibious assault ships need a large contingent of for carrying Marines?,0,1,0,0,0,0
Which named country tests positive for TB in about 80% of its population?,0,1,0,0,0,0
What was the most notable naval victory EIC had?,0,1,0,0,0,1
What commission was created in 1955?,0,1,0,0,0,0
Which league had the second most Champions League wins between 1992 and 2013?,0,1,0,0,0,0
What part of Dukkha deals with pain?,0,1,0,0,0,0
What withdrew the political boundaries of West Asia?,0,1,0,1,0,0
What happened in 1877?,0,1,0,0,0,0
What does AAAD stand for?,0,1,0,0,0,0
What caused Eisenhower's stroke of 1957?,0,1,0,1,0,0
Where did Frederick invade in 1758?,0,1,0,1,0,0
What does tort not overlap with?,0,1,0,0,0,0
In what month in 2008 did Bike Miami start?,0,1,0,0,0,0
Who directed the first nude scene in Greek film history?,0,1,0,0,0,0
Who is overlooking darker skinned latino multiracial people?,0,1,0,0,0,0
What peaceful protest shaped his career?,0,1,0,0,0,0
Who was the last Catholic executed?,0,1,0,0,0,0
What is one country that stayed mostly feudal and created spectacular architecture for its royalty rather than its burghers?,0,1,0,0,0,0
Along with myrrh and spices what important luxury did ancient Somali merchants provide?,0,1,0,0,0,0
What road helped the Phoenicians trade with the Arabs?,0,1,0,0,0,0
How many Arab League members have relations with Israel?,0,1,0,0,0,0
What was Gorbachev trying to separate?,0,1,0,0,0,0
What is unique green's wavelength?,0,1,0,0,0,0
What statues are near the ones of teachers and educators?,0,1,0,0,0,0
Where did the White Huns roam?,0,1,0,0,0,0
What example did Darwin give of eyes evolving?,0,1,0,0,0,0
What is the only school in the country implementing three international Baccalaureate Programmes?,0,1,0,0,0,0
What do federal agencies enact for rulemaking purposes?,0,1,0,0,0,0
What college does NARA have cooperatives initiatives with?,0,1,0,0,0,0
Who was responsible for the creation of the Duchy of Warsaw?,0,1,0,0,0,0
What did Tom Hiddleston say about sending any potential kids to Eton?,0,1,0,0,0,0
In what place did the University of Kansas finish in national rankings for graduate architecture programs in 2012?,0,1,0,0,0,0
What earned the title as best all-around subnotebook/ultraportable?,0,1,0,0,0,0
What applies well to coding standard compression tasks?,0,1,0,0,0,0
What was Seattle's gross product in 2010?,0,1,0,0,0,0
When did Britain encourage immigration of workers?,0,1,0,1,0,0
In what year was the Clinical Education Program ranked 4th in the nation?,0,1,0,0,0,0
What common complex is formed by the UO2+ 2 ion with organic chelating agents?,0,1,0,0,0,1
When was the Genpei war?,0,1,0,1,0,0
When did amateur teams dominate the Canadian football championship?,0,1,0,0,0,0
What style of building is the Chambre de commerce et d'industrie?,0,1,0,0,0,0
What is one easy part when using surface mount components?,0,1,0,0,0,0
For what nation did Hussein Ahmed Salah compete?,0,1,0,0,0,0
What was the location of the first store?,0,1,0,0,0,0
Who made William Adams a samurai?,0,1,0,0,0,0
What political problem did Montini feel he needed to address as a diplomat in Poland?,0,1,0,1,0,0
The Standing Committee of the National People's Congress is seated in what city?,0,1,0,0,0,0
Which treaty in 1948 defined and forbade promulgation?,0,1,0,0,0,0
What business was the title sponsor of the AFL?,0,1,0,0,0,0
Where is MGM located?,0,1,0,0,0,0
What type of USAF aircraft is designed for long range airstrike attacks?,0,1,0,0,0,0
What does a single species dominating the area help promote in a community?,0,1,0,0,0,0
Where is the biggest Buddha statue in Europe?,0,1,0,0,0,0
How many clubs competed in 20011-12?,0,1,0,0,0,0
What did the Province of West Jersey specify there would be for those running for an office in 1681?,0,1,0,0,0,0
In what decade did Everton experience a revival?,0,1,0,0,0,0
What geological subdivision is located in the north?,0,1,0,0,0,0
What does an optoisolator don't do?,0,1,0,0,0,0
Where does the UN Code Alimentarius want to do business regulating volunteers?,0,1,0,0,0,0
What is the name of one of Somerset's underground rivers?,0,1,0,0,0,0
What is considered to be central to the teachings of Buddhism?,0,1,0,0,0,0
When was the first Idol Gives Back?,0,1,0,0,0,0
What are the General Categories of Unicode?,0,1,0,0,0,0
What device did Manchester invent?,0,1,0,0,0,0
Whose retreat during the Korean war was the longest in the history of the US Army?,0,1,0,0,0,1
How much debt was the AFL reported to have as of July 20 2009?,0,1,0,0,0,0
From what ancient region did kuul application come?,0,1,0,0,0,0
What is a common feature of passive solar architecture?,0,1,0,0,0,0
What meetings do Minority and Majority leaders usually meet to discuss?,0,1,0,0,0,0
How did George of Cappadocia die outside of prison?,0,1,0,1,0,1
What magazine compared Kanye to David Bowie?,0,1,0,0,0,0
When may sunlight be stored as gravitational kinetic energy?,0,1,0,1,0,0
What was Nintendo moving on to?,0,1,0,0,0,0
What nation was part of the Independence Bloc of Eritrean parties?,0,1,0,0,0,1
What lead to the king's excommunication?,0,1,0,1,0,0
What is the real exported cash crop rate?,0,1,0,0,0,0
Where were the letters DEC in position?,0,0,0,0,0,1
Clopidogrel is a form of what inhibitor?,0,1,0,0,0,0
What is one of the most famous sporting events in the city?,0,1,0,0,0,0
Which international balance of power formally created the division between small and great powers?,0,1,0,1,0,1
Who removed generals Gosnjak and Hamovic?,0,1,0,0,0,0
In 2013 how many years had IBM generated the most patents by a business?,0,1,0,0,0,0
When did James come up with 'radical empiricism'?,0,1,0,0,0,0
What party was Hillquit?,0,1,0,0,0,0
Ogranisms use camoflauge to blend with their habitat and what else?,0,1,0,0,0,0
What type of relationship is it when large animals crush small plants?,0,1,0,0,0,0
When power needed to be consolidated what was chosen to govern?,0,1,0,1,0,0
What type of waves will char paper?,0,1,0,0,0,0
What did Nasser symbolize?,0,1,0,0,0,0
How many Chinese civilians were estimated to have died during the Japanese Zhejiang-Jiangxi Campaign?,0,1,0,0,0,0
In Hegel's thought what inner reality is possessed by both subject and object?,0,1,0,0,0,1
Which campus holds the undergraduate schools the Graduate school and the Kellogg school of Management?,0,1,0,0,0,0
Where did the Stonewall riots happen?,0,1,0,0,0,0
How long did von Neumann survive with cancer?,0,1,0,0,0,0
What do forests in the Congo not have to face?,0,1,0,0,0,0
What lacking resource does Estonia depend on other countries for?,0,1,0,0,0,0
What revolution impacted the medieval Islamic world?,0,1,0,0,0,0
What did the removal of the ban result in?,0,1,0,0,0,0
Who manages each FBI branch?,0,1,0,0,0,0
What type of measurements are used to quantify the distance between measurements?,0,1,0,0,0,0
Who discovered New Zealand for the Dutch?,0,1,0,0,0,0
