Question,Confirmation,Factoid,List,Causal,Hypothetical,Complex
Why have wall mosaics generally not survived in the region?,0,1,0,1,0,0
Did South Slav languages develop coherently or independently?,0,1,0,1,0,0
Why do Muslim antimasonics believe that Freemasons want to destroy Al-Aqsa Mosque?,0,1,0,1,0,0
Why is the measurement of electric current an issue in the estimate of the gyromagnetic ratio?,0,1,0,1,0,1
Why are poultry eggs useless aside from consumption?,0,1,0,1,0,0
Why have Italian bonds been lost by the ECB?,0,0,0,1,0,1
Why do Sephardim represent the overwhelming majority of Jews in the New World?,0,1,0,1,0,0
What would happen to the global economy if a technology for perfect memory recall was developed and commercialized?,0,0,0,0,1,1
Why is there difficulty in defining process theology?,0,1,0,1,0,1
Why was campus police established?,0,1,0,1,0,0
Why exactly was the fort rename to Fort Nathan Hale?,0,1,0,1,0,1
Why did more than half a million people flee?,0,1,0,1,0,0
What if humans discovered a way to live on Mars sustainably; outline the steps for colonization and the potential societal impacts,0,0,1,0,1,1
List three French writers who have won the Nobel Prize in Literature and explain how their works have influenced French culture.,0,0,1,0,0,1
Why has the Internet been developed?,0,1,0,1,0,0
Why was there a large population of Algonquins in Bermuda?,0,1,0,1,0,0
The conclusions of Peter J. Wallison concerning the financial crisis do not agree with the views of this economist?,0,0,0,1,0,1
Why was paper tape better than magnetic tape?,0,1,0,1,0,0
Why were women composers deemed not notable?,0,1,0,1,0,0
Why was the Republic of Novgorod doing so well when the Kiev Rus refused?,0,1,0,1,0,1
Why would Guam be so important?,0,1,0,1,0,0
Why did New York state allow unmarked cars for traffic police?,0,1,0,1,0,0
The ordered the Russian troops to leave the Principalities?,0,1,0,1,0,0
The time span that is counted as the non-classical for the Greeks is from eras ?,0,1,0,0,0,1
Why was the border between Mexico and the United States established south of the northernmost point of San Diego Bay?,0,1,0,1,0,1
What if humans could change their genetic composition at will; how would this ability have an impact on the ethics of society and human evolution?,0,0,0,0,1,1
Why did UNFPA never change their name?,0,1,0,1,0,0
What common complex is formed by the UO2+ 2 ion with organic chelating agents?,0,1,0,0,0,1
Outline the changes in human behavior if everyone could remember everything perfectly?,0,0,1,0,1,0
Why would a transmitter have additional adjustments?,0,1,0,1,0,0
Why is Yiddish not a dialect of German?,0,1,0,1,0,0
Why was the Board of Estimate found unconstitutional?,0,0,0,1,0,1
Why do American troops visit Tajikistan so often?,0,0,0,1,0,1
Why are the compounds of zinc very colorful?,0,1,0,1,0,0
Imagine if all humans had an innate ability to sense when they were being lied to; how would this transform personal relationships and politics?,0,0,0,0,1,1
"And if everyone could only tell the truth, how it would change political relations and business",0,0,0,0,1,1
Why is it hard to find the origin of the word Tajik?,0,1,0,1,0,1
Did cultural exchange during the Age of Enlightenment travel exclusively to America or did the information travel in both directions across the Atlantic to Europe?,1,0,0,0,0,1
Why was the municipality of Quianjiang formed?,0,1,0,1,0,0
Why is hydrogen employed?,0,1,0,1,0,0
Why were Italian bonds lost by the ECB?,0,0,0,1,0,1
Are there laws against marriage between whites and Asians in the United States?,0,1,0,1,0,0
"How has the French educational system evolved over time, and what are some of the challenges it faces today?",0,1,0,1,0,1
Why have the following generations always admired the Nara period?,0,1,0,1,0,0
What to do if humans discover a way to live on Mars in a sustainable way; describe the stages of colonization and the potential impacts on society,0,0,1,0,1,1
Why do engines have little space for insulation?,0,1,0,1,0,0
Did Mexico play a role in the war?,1,0,0,1,0,0
Why were the targets achieved during these attacks?,0,1,0,1,0,1
List the cultural changes expected if humans have developed the ability to communicate telepathically,0,0,1,0,1,1
What was the most notable naval victory that the EIC had?,0,1,0,0,0,1
Why were sled-dogs used to deliver medicine to Nome in 1952?,0,1,0,1,0,0
Besides its association with danger why was red chosen for traffic lights?,0,1,0,1,0,0
Why is network security under study?,0,1,0,1,0,0
What did Rutherford institute the appointment of in each congregation in 1919?,0,1,0,0,0,1
Why is table sugar produced?,0,1,0,1,0,0
Imagine the societal changes that would occur if humans could photosynthesize and partially support themselves on sunlight,0,0,0,0,1,1
Why did the Russian Orthodox Church and the Russian Federation of Jewish Communities ask members to boycott the concert?,0,1,0,1,0,0
Why was van Beurden examined?,0,1,0,1,0,0
"Don't some cultures use the term ""black people""?",1,1,0,0,0,0
Why does the FBI operate LEGAT's offices?,0,0,0,1,0,1
Name some cultural universes that exist with humans today.,0,1,1,0,0,0
Why did Telnet define CSAII as the ABCDIC?,0,1,0,1,0,0
Why did Brasil need an adapted version of the CSAII?,0,1,0,1,0,0
Were there any laws against marriage between whites and Asians in the US?,0,1,0,1,0,0
Why is the world's Jewish population easy to measure?,0,1,0,1,0,0
When did the Genpei war take place?,0,1,0,1,0,0
Why are Guinean birds useless to humans?,0,1,0,1,0,0
Why is hydrogen used?,0,1,0,1,0,0
Why were new plants arriving in Europe in the 18th century?,0,1,0,1,0,0
The pitch of complex tones can be?,0,1,0,0,0,1
Why do cells easily stain with dyes?,0,1,0,1,0,0
"If France never had a monarchy, what would the French political system look like today, and how would it differ from the current system?",0,1,0,0,1,1
Why did Emperor Kammu move the capital to Heian0kyo after 1000 years?,0,1,0,1,0,1
"What would happen if French cuisine did not have access to seafood, and how would this affect the country's culinary reputation?",0,0,0,1,1,0
Do all plants have male and female parts?,1,1,0,0,0,0
Why do many hip hop and R&B artists turn to roots?,0,0,0,1,0,1
Why does the white sun cross the atmosphere?,0,1,0,1,0,0
Why was this award given by the Pope to Lyndon B. Johnson?,0,0,0,1,0,1
Why are annelids' segments like water-balloons?,0,1,0,1,0,0
Why is basic thought crucial to Dewey's theory?,0,0,0,1,0,1
Why is it possible to distinguish UTF-8 from other protocols?,0,1,0,1,0,0
What caused the resurface of the Grecian monotony in politics?,0,1,0,1,0,0
Why is zinc carbonate poorly absorbed in the body?,0,1,0,1,0,0
Why do some countries display numbers in chunks of two to four numbers?,0,1,0,1,0,0
Why has Unicode been criticized for not separately encoding forms of kanji?,0,1,0,1,0,0
Why has Bermuda's need for salt diminished?,0,1,0,1,0,0
Was there a great need for childhood education in a pre-industrial society?,0,1,0,1,0,0
Why did NARA create the National Archives in 1934?,0,1,0,1,0,0
How would the finding of extraterrestrial microbial life in our solar system alter our approaches to space exploration and biosecurity?,0,0,0,0,1,1
Why is there a debate as to dubbing the diamondback terrapin the oldest indigenous land vertebrate?,0,1,0,1,0,1
Why is Mexico vulnerable to flooding?,0,1,0,1,0,0
Why was the Freemasonry of Prince Hall formed?,0,1,0,1,0,1
Why did the King of England have problems with parliament in the 17th century?,0,1,0,1,0,0
List two reasons why Libya become an 'international pariah.',0,0,1,1,0,0
In what century did the passage from old Persian to middle Persian begin well?,0,1,0,1,0,0
IndyMac resisted the regulators' efforts to tighten the criteria for their loans?,1,0,0,1,0,0
Why did Robert Osborne stop showing movies on TCM for several months?,0,1,0,1,0,0
Complex organisms can occupy what is not available for their simpler Brethern?,0,1,0,0,0,1
"If France never had a monarchy, what would the French political system look like today, and how would it be different from the current system?",0,1,0,0,1,1
Why was the media transfer protocol designed?,0,1,0,1,0,0
Can members of the upper chamber be charged directly or indirectly?,0,1,0,0,0,1
Why is written music notation effective?,0,1,0,1,0,0
Why is the ability to start SD cards locked in writing with a USB adapter advantageous?,0,1,0,1,0,0
Why will water become concave according to the relativity theory?,0,1,0,1,0,0
Compared to none of the US does Alaska has many or few road connections?,1,0,0,0,1,0
Why are Molluscs and Annelidas considered to be close relatives?,0,1,0,1,0,0
Witch wars proceeded Palermo's contact with Ancient Greece?,0,1,0,1,0,1
Why do some think Whitehead's writings have limited his influence?,0,1,0,1,0,0
Why are anneloids water balls?,0,1,0,1,0,0
The CBC cited not wanting to pay for the transition from analog to digital as it's reason for doing this?,1,0,0,1,0,0
Why are more ligatures in Unicode likely to happen?,0,1,0,1,0,0
Why did Professor Skousen collect fragments and analyze them?,0,1,0,1,0,0
Why did the construction of Eton Mission cease in 1971?,0,0,0,1,0,1
Why was there a large population of Algonquian people in Bermuda?,0,1,0,1,0,0
In addition to the content of the treaty itself why might a treaty be invalidated?,0,1,0,1,0,1
Why do most fish reptiles amphibians and birds appear green?,0,1,0,1,0,0
Why do researchers calculate the sum of an organisms genes?,0,1,0,1,0,0
Why are Bermuda considered an offshore financial centre?,0,1,0,1,0,0
Why did the construction of the Fine Arts Palace take so long?,0,0,0,1,0,1
Why is the Avian flu only a risk to animals?,0,1,0,1,0,0
Why have AC motors been used?,0,1,0,1,0,0
Who did Gorbachev appoint as the first Secretary of the Azerbaijani Communist Party in 1988?,0,1,0,0,0,1
Why were alternative energy sources considered economic in 2001?,0,1,0,1,0,0
The routine practice of immunology can best be characterized as?,0,0,0,1,0,1
Why did rights-holders complain to Wikipedia.org?,0,1,0,1,0,1
Did John Locke want to foster or avoid increased detailed debate on the essence of Christianity?,0,0,0,1,0,1
Why were the first 256 code points identical to ISO-8859-1?,0,1,0,1,0,0
Whose retreat during the Korean war was the longest in the history of the US Army?,0,1,0,0,0,1
Why is STOVL used by other marines?,0,1,0,1,0,0
"In addition to the content of the treaty itself, why could a treaty be invalidated?",0,1,0,1,0,1
Why were political radicals such as Ernst Haekel so interested in the origin of the species?,0,1,0,1,0,0
Why is zinc oxide useful in photocopying products?,0,1,0,1,0,0
Why did Selz publish his ideas?,0,0,0,1,0,1
Why was the website to be removed?,0,1,0,1,0,0
"What would happen if French cuisine didn't have access to any seafood, and how would it affect the country's culinary reputation?",0,0,0,1,1,0
Enumerate the social and ethical implications of discovering an immortal species living among humans,0,0,1,0,1,1
Why did the Normans adopt a Byzantine art style?,0,0,0,1,0,1
The time that is counted as the classic for the Greeks is of eras?,0,1,0,0,0,1
Why is there still Bilingual spoken in these states?,0,1,0,1,0,0
Why did monasteries have gardens?,0,1,0,1,0,0
How would legal systems worldwide adapt to the introduction of mind-reading technology in courtrooms?,0,0,0,0,1,1
Why has copyright infringement increased recently?,0,1,0,1,0,0
Within the New Haven metropolitan area contain a Fortune 1000 company located in Orange the name of the company?,0,1,0,0,0,1
Why did some scientists think Burke didn't want his book like a satire then that it was a satire?,0,0,0,1,0,1
"Is it true that French people are the biggest wine consumers in the world, and if so, what are the reasons for this trend?",1,1,0,0,0,1
Does the bilateral treaty between Switzerland and the European Union establish rights or obligations amongst the EU and its member states?,0,1,0,0,0,1
Have the researchers learned anything to study elasticity?,1,1,0,0,0,0
Why are renewable energy an attractive option?,0,1,0,1,0,0
"In the 1950s, why didn't the Picturephone become a success?",0,1,0,1,0,0
Why were the non nobles and nobles referred as the same term?,0,0,0,1,0,1
Why Are China France Russia the UK and the US seen as by middle powers?,0,1,0,1,0,1
Outline the consequences for global agriculture if genetically modified plants required no water?,0,0,1,0,1,0
Why do merchants prefer that their daughters do not marry samurai?,0,1,0,1,0,0
Why is Samkhya considered theistic?,0,1,0,1,0,0
Name two US bills that want to ban antibiotics in food production?,0,1,0,0,0,1
List the consequences for wildlife conservation if animals could communicate their emotions?,0,0,1,0,1,0
Why do RLV discs have a blue or violet reflective color?,0,1,0,1,0,1
Why is uranium concentrate in agricultural land so high?,0,1,0,1,0,0
Why was the municipality of Chongqing formed?,0,0,0,1,0,1
Outline the process and impacts of transitioning to a global currency that is entirely digital and decentralized,0,0,1,0,1,1
Why have Denmark and Norway remained neutral rather than helping their long-standing ally in Britain?,0,0,0,1,0,1
Detail the modifications to human governance if decision-making was assisted by predictive algorithms,0,0,1,0,1,1
Is conjugation a common bacterial adaptation?,1,1,0,0,0,0
Why did the Spanish colonies delay adopting the timetable?,0,1,0,1,0,1
"Why didn't the Japanese launch their attack on September 20, 1945?",0,1,0,1,0,0
Why are some people hesitant to use LED lighting?,0,1,0,1,0,0
Why is fundamental thinking crucial for Dewey's theory?,0,0,0,1,0,1
Why is renewable energy an attractive option?,0,1,0,1,0,0
Why are hydrocarbon pesticides not excreted?,0,1,0,1,0,0
When was the Genpei war?,0,1,0,1,0,0
Before the mid-20th century were people open about their multicultural heritage and why or why not?,0,0,0,1,0,1
Why is the calculation of Gregorian calendar days not simple?,0,1,0,1,0,0
Why does water reduce the darkening of the lamp?,0,1,0,1,0,0
"Why does Teletype have the code for ""rubout""?",0,1,0,1,0,0
Why were the researchers recognized in 1975?,0,1,0,1,0,0
Name one reason the ancient and distinct Jewish languages have largely fallen out of use?,0,1,0,1,0,0
Why does translation cause such problems among different cultures?,0,0,0,1,0,1
Why were secondary schools not established?,0,1,0,1,0,0
Would a lower IAG mean a higher apparent saturation or a liveliness of the object's colors?,0,1,0,0,0,1
Why did Moscow begin to crack down on the Ukrainian language?,0,0,0,1,0,1
Why did Mongolian princes ask for titles?,0,1,0,1,0,0
Why did Emperor Qing Qianlong send a great Chinese army to Tibet?,0,1,0,1,0,0
Why was this plant chosen for sequencing?,0,1,0,1,0,0
Why is the CD-RW more expensive than the ReWritable CD?,0,1,0,1,0,0
"Can you name three famous French artists of the 19th century, and explain how their works influenced the artistic movement of that time?",0,0,1,1,0,1
Why have Eritrean government officials participated in many meetings with NGO representatives?,0,0,0,1,0,1
Why did China need to resettle people into Chongqing?,0,1,0,1,0,0
Why is uranium concentrate in agricultural land so low?,0,1,0,1,0,0
What effect has Whitehead had on the future of metaphysics?,0,1,0,1,0,0
Why has the art of the Ottoman Empire evolved as it did?,0,0,0,1,0,1
Do adolescents adults or both weight the potential rewards and consequences of an action?,0,1,0,1,0,0
Why are some scientists not sure about the diversification of life?,0,0,0,1,0,1
Why are astronomical observations better made from most surface locations?,0,1,0,1,0,0
Defining the lectio brevior,0,1,0,0,0,1
Why did Nicaraguans come to America?,0,1,0,1,0,0
Why is the glass annealed?,0,1,0,1,0,0
Why do people say KInseys work is not correct?,0,1,0,1,0,0
Why is there no difficulty faced in using poultry to cultivate vaccines?,0,1,0,1,0,0
Why did some owners burn their own buildings?,0,1,0,1,0,0
Why is the number of mobile subscribers rising faster than the number of internet connected users?,0,1,0,1,0,0
Why do gadgets that have GPS or collect data about your habits put you at risk for an attack?,0,1,0,1,0,0
Was a law enacted in 1991 allowing corporations to sell land holdings or was it repealed?,0,1,0,1,0,0
How would the discovery of a cure for ageing affect the management of global population resources and the economy?,0,0,0,0,1,1
How would the integration of AI into judicial systems affect the speed and fairness of judicial proceedings?,0,0,0,0,1,1
Why does clinical immunology extend to these areas?,0,1,0,1,0,0
Why is quadratic behaviour not observed in modern devices?,0,1,0,1,0,0
Is it believed that they truly aren't responsible in full for the collapse ?,0,1,0,1,0,0
Why is it important for textual critics to analyze plays?,0,1,0,1,0,0
Why are zinc compounds very coloured?,0,1,0,1,0,0
List potential global health impacts if a vaccine is developed to prevent all forms of cancer.,0,0,1,0,1,1
Why is zinc oxide useful for photocopying products?,0,1,0,1,0,0
Why have laws such as the drop rule been enacted?,0,1,0,1,0,1
Why are high-index glasses valued?,0,1,0,1,0,0
Why are people less likely to want to live on a farm?,0,1,0,1,0,0
Is there a cure for long acting beta agonists?,1,1,0,0,0,0
Why did Neptune seem to be in its exact discovery position?,0,1,0,1,0,0
Why did the Chinese maintain timekeeping records in the 11th century?,0,1,0,1,0,1
Why could the voting princes claim to be King of Prussia?,0,0,0,1,0,1
Why is the translation of the Old Testament into Greek known as the Septuagint?,0,1,0,1,0,0
Why is the concentrate of uranium in farmland so low?,0,1,0,1,0,0
Outline the economic policies to manage the discovery of a new energy source more powerful than nuclear energy,0,0,1,0,1,1
List the social and ethical implications of the discovery of an immortal species living among humans,0,0,1,0,1,1
Why is Burma facing this problem with the precious stones industry?,0,1,0,1,0,0
Why wasn't secondary school introduced in the U.S?,0,0,0,1,0,1
Why are sodas and high-sugar fruit juices not recommended?,0,1,0,1,0,0
Why doesn't Deraismes like freemasonry?,0,0,0,1,0,1
Why does the Georgian party want to increase its support for political parties?,0,1,0,1,0,0
Why is the Permanent Fund an exception to the Alaskan Constitution?,0,1,0,1,0,0
Why do almost all carriers using non-conventional aircraft have stopped recovery systems?,0,1,0,1,0,0
Why did a few scholars think Burke hadn't intended his book as a satire yet later claimed it was a satire?,0,0,0,1,0,1
Why would American Italians want to be nominated as members of a preferred group?,0,0,0,1,0,1
The violence beginning in 1963 resulted in the deaths of many Turks?,1,0,0,1,0,0
Was Melbourne more or less affected by the financial crisis of the late 2000s compared to other Australian cities?,0,1,0,1,0,0
Why did Professor Skousen gather fragments and have them analyzed?,0,1,0,1,0,0
How has the French education system evolved over time and what are the challenges it faces today?,0,1,0,1,0,1
Why do so many multinationals have their English American headquarters in Miami?,0,1,0,1,0,0
Why have the Ugyhurs not been sent back to China?,0,1,0,1,0,0
Why is cockfighting no longer something people want to be involved with?,0,1,0,1,0,0
Why has Penicillium never been marketed?,0,1,0,1,0,0
What has made it necessary for more industries?,0,1,0,1,0,0
Why did Gaddafi laugh at primary school?,0,1,0,1,0,0
Why is sexual orientation based on one component causing problems?,0,1,0,1,0,0
Why was the YouTube site launched for the first time in 2010?,0,1,0,1,0,0
Why are some bacteria called predators?,0,1,0,1,0,0
Why is it used as a coolant?,0,1,0,1,0,0
Why do cells color easily with dyes?,0,1,0,1,0,0
List changes in family structures and dynamics if humans could choose their biological characteristics,0,0,1,0,1,1
Why was the make-up of the green face worn by the ancient Egyptians?,0,1,0,1,0,0
Did the actions of the Chinese fix their problems?,1,0,0,1,0,0
Why were foxes originally hunted?,0,1,0,1,0,0
"Is it true that the French are the largest consumers of wine in the world, and if so, what are the reasons for this trend?",1,1,0,0,0,1
Why did Victoria represent Derby after her visit with Napoleon III?,0,1,0,1,0,0
Why was the use of organochlorine hydrocarbons ended?,0,1,0,1,0,0
Why does the CIA operate LEGAT offices?,0,1,0,1,0,0
Why does geography have an effect of the amount of solar energy available?,0,1,0,1,0,0
Why did some political comments attempt to attach natural selection to human races?,0,0,0,1,0,1
Describe the potential impacts on health care if a cure for aging has been found?,0,0,1,0,1,0
The time that is counted as non-classical for the Greeks is of eras?,0,1,0,0,0,1
Goes the number of internet users in Somalia continue to rise or fall?,0,1,0,1,0,0
What if an incontrovertible proof of a multiverse was found; how would this affect our philosophical and religious views?,0,0,0,0,1,1
How would the French economy be affected if it decided to leave the European Union?,0,0,0,1,1,0
Why was Phillips hospitalized during his stay on American Idol?,0,1,0,1,0,0
Why did Sigmund believe all humans are born bisexual?,0,1,0,1,0,0
Why does Milena Sterio regard UNSC members as great powers?,0,0,0,1,0,1
What if a single language evolved to become the universal mode of communication; what would be lost and what would be gained,0,0,0,0,1,1
What would be the ethical and societal implications of creating artificial islands to house the growing global population?,0,0,0,0,1,1
Why is zinc carbonate poorly absorbed into the body?,0,1,0,1,0,0
Why did agriculture become so significant for Armenia's economy?,0,1,0,1,0,0
Why are diesel trains still used on electrified routes?,0,1,0,1,0,0
Name one event that occurred in the Arab world during Gaddafi's childhood that influenced his life.,0,1,0,0,0,1
"And if a new mineral were discovered on Mars that could revolutionize energy production, how would that affect space policy and the economy?",0,0,0,0,1,1
Why was Nintendo accused of antitrust behavior?,0,1,0,1,0,0
In what year was the PCK divided into three denominations because of a controversy?,0,1,0,0,0,1
"What would happen if French cuisine ceased to exist, and what impact would that have on French society and culture?",0,0,0,1,1,0
Outline the educational reforms needed if students could download knowledge directly to their brains,0,0,1,0,1,1
Why has Unicode been criticized for not coding the forms of kanji separately?,0,1,0,1,0,0
Does the typical duration of relationships increase or decrease throughout the teenage years?,1,0,0,0,1,0
Why is peering used?,0,1,0,1,0,0
Why did Google's CEO think the new software was needed?,0,1,0,1,0,1
Why did the Echmiadzin church become independent?,0,0,0,1,0,1
Why is a loss of energy difficult to measure by weight?,0,1,0,1,0,0
Why does the MULTI OUT connector differ between regions?,0,1,0,1,0,0
Have there been any changes to restrictions placed on the communications networks in Burma ?,0,1,0,1,0,0
Does child labour exist in the 21st century?,0,1,0,1,0,0
Why did the monasteries have gardens?,0,1,0,1,0,0
Complex organisms can occupy this that are not available to their simpler brethern?,0,1,0,0,0,1
Why are diesel trains still used on electrified roads?,0,1,0,1,0,0
Why did Petrovitch not succeed in persuading Austria to invade Prussia?,0,0,0,1,0,1
Why is some energy in the electroluminescence process emitted by heat and darkness?,0,1,0,1,0,0
Why did the CEO of Google think the new software was necessary?,0,1,0,1,0,1
Was the meeting in Canberra a group of people who supported or opposed Franklin D. Roosevelt?,0,1,0,0,0,1
Why is Lancashire smaller than its historical extent?,0,1,0,1,0,1
Why did the foundation make the change?,0,1,0,1,0,0
What political problem did Montini feel he needed to address as a diplomat in Poland?,0,1,0,1,0,0
Why did the Chinese keep chronology records in the 11th century?,0,1,0,1,0,1
Why are no leeches endangered?,0,1,0,1,0,0
Imagine a world where personal quantum computers are the norm; what would be the implications for privacy and computer power?,0,0,0,0,1,1
Have elections been held in Burma since the military coup in 1988 ?,0,1,0,1,0,0
"List two reasons why Libya becomes an ""international pariah"".",0,0,1,1,0,0
Along with anti-death penalty advocacy why has there been a shortage in drugs for lethal injections outside of the United States?,0,0,0,1,0,1
Why do scholars say that times are different according to the gospel in which it is written?,0,0,0,1,0,1
Why has the term house become popular?,0,1,0,1,0,0
Why were the Gates Foundation educational reforms criticized?,0,1,0,1,0,1
Why are Guinea fowl useless to humans?,0,1,0,1,0,0
Describe the popular revolution.,0,0,0,1,0,1
Has TB infection increased or decreased worldwide since the start of the 21st century?,0,1,0,1,0,0
Why did Schumann say the Poles were in mourning?,0,1,0,1,0,0
Defining 'lectio difficile',0,1,0,0,0,1
Why is Colorado still an afterthought in American-Spanish society?,0,1,0,1,0,0
Why did the University of Maryland open another campus site?,0,1,0,1,0,0
What steps would society need to take if teleportation became the primary mode of transportation?,0,0,1,0,1,0
Why are seabirds from the southern hemisphere more likely to migrate?,0,1,0,1,0,0
Why do US troops visit Tajikistan every so often?,0,0,0,1,0,1
What if every person could only speak the truth; how would this change politics relationships and business,0,0,0,0,1,1
Can New Zealanders vote for the Electoral Commission Party?,1,0,0,0,1,0
"Before the mid-20th century, were people open to their multicultural heritage and why or why not?",0,0,0,1,0,1
Why is the translation of the Old Testament into Greek known as Septuagint?,0,1,0,1,0,0
What international balance of power has officially created the division between the small and the great powers?,0,1,0,1,0,1
The loss of soil due to the lack of trees along the river bed resulted?,0,1,0,1,0,0
"If artificial superintelligence were to govern nations, how would it affect global conflict and cooperation?",0,0,0,0,1,1
Why might two plants be similar but not actually be in the same group?,0,0,0,1,0,1
Why is it difficult to put more than 60 minutes on a DVD?,0,1,0,1,0,0
Detail the steps in establishing a global health care system capable of responding to pandemics in a matter of days,0,0,1,0,1,1
"How did the Treaty of Versailles affect France's political and social climate after the First World War, and what were some of the long-term effects of this treaty?",0,0,0,1,0,1
Why did Jens Galschiøt leave Hong Kong?,0,1,0,1,0,0
Why does the sequence of a strand fully specify the sequence of its complement?,0,1,0,1,0,0
Why were Americans allowed to start ticking more than one box to identify their race in the 200 census?,0,1,0,1,0,0
Why did the Evangelical Lutheran Church add this memorial to the calendar?,0,1,0,1,0,0
Detail urban adjustments for cities that need to accommodate flying cars and drones,0,0,1,0,1,1
Why did Ibn Sina burn the royal library?,0,1,0,1,0,0
Why gram-negative cell bacteria is more toxic than gram-positive bacteria?,0,0,0,1,0,1
Why is new rock not suitable for mainstream radio?,0,1,0,1,0,0
Enumerate the changes in family structures and dynamics if humans could choose their biological characteristics,0,0,1,0,1,1
Why did Victoria inherit the throne?,0,1,0,1,0,0
"Since 2011, Foreign Direct Investment has disappeared?",0,1,0,1,0,0
Why do Czechoslovakians regard Czech and Slovak as one language?,0,1,0,1,0,0
Why do modern breeds look the same as their wild ancestors?,0,1,0,1,0,0
When can sunlight be stored as gravitational kinetic energy?,0,1,0,1,0,0
Why did the King of England have issues with parliament in the 17th century?,0,1,0,1,0,0
"Can you name three famous French artists from the 19th century, and explain how their works influenced the art movement of that time?",0,0,1,1,0,1
Why don't the debates have a separate winner?,0,1,0,1,0,0
Why were benefits such as relaxed zoning rules and special parking privileges granted to churches?,0,1,0,1,0,0
What would the geopolitical landscape look like if energy were free and unlimited for all countries?,0,0,0,0,1,1
How would the discovery of extraterrestrial microbial life in our solar system change our approaches to space exploration and biosecurity?,0,0,0,0,1,1
Why wasn't philosophy taught in Ottoman madaris?,0,1,0,1,0,0
Why are the differences between flora and fauna not only due to differences between regions?,0,1,0,1,0,0
Why was the Royal Dutch Petroleum Company created?,0,1,0,1,0,0
Were Greek temples built in the Hellenistic period larger or smaller than classical temples?,0,1,0,1,0,0
Were other sites compromised in addition to Ashley Madison?,0,1,0,1,0,0
Is a lectio brevrio or lectio difficilior approach more akin to the original text?,1,0,0,0,0,1
What leads to the king's excommunication?,0,1,0,1,0,0
